Subject,Predicate W/ Prepositions,Object Subtree,Object,Predicate,Sentence,Parse Tree
darkness,are ,both united and,united,are,DARKNESS are both united and,"[('darkness', 'nsubj', 'NOUN', []), ('are', 'ROOT', 'VERB', [darkness, united]), ('both', 'preconj', 'DET', []), ('united', 'acomp', 'VERB', [both, and]), ('and', 'cc', 'CCONJ', [])]"
shield,is ,symbolic of wisdom,symbolic,is,"the SHIELD is symbolic of wisdom , the great protector of divine warriors .","[('The', 'det', 'DET', []), ('shield', 'nsubj', 'NOUN', [The, protector]), ('is', 'ROOT', 'VERB', [shield, symbolic, ,, .]), ('symbolic', 'acomp', 'ADJ', [of]), ('of', 'prep', 'ADP', [wisdom]), ('wisdom', 'pobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('great', 'amod', 'ADJ', []), ('protector', 'appos', 'NOUN', [the, great, of]), ('of', 'prep', 'ADP', [warriors]), ('divine', 'amod', 'ADJ', []), ('warriors', 'pobj', 'NOUN', [divine]), ('.', 'punct', 'PUNCT', [])]"
Abraxas,was ,"the name of a sun mounting an ouroborus ( a snake biting its tail ) held by the highest Egyptian goddess , Isis , the creator of the Sun and",name,was,"abraxas also was the name of a sun mounting an ouroborus ( a snake biting its tail ) held by the highest egyptian goddess , isis , the creator of the sun and","[('Abraxas', 'nsubj', 'PROPN', []), ('also', 'advmod', 'ADV', []), ('was', 'ROOT', 'VERB', [Abraxas, also, name]), ('the', 'det', 'DET', []), ('name', 'attr', 'NOUN', [the, of, snake, held]), ('of', 'prep', 'ADP', [sun]), ('a', 'det', 'DET', []), ('sun', 'pobj', 'NOUN', [a, mounting]), ('mounting', 'acl', 'VERB', [ouroborus]), ('an', 'det', 'DET', []), ('ouroborus', 'dobj', 'NOUN', [an]), ('(', 'punct', 'PUNCT', []), ('a', 'det', 'DET', []), ('snake', 'appos', 'NOUN', [(, a, biting, )]), ('biting', 'acl', 'VERB', [tail]), ('its', 'poss', 'ADJ', []), ('tail', 'dobj', 'NOUN', [its]), (')', 'punct', 'PUNCT', []), ('held', 'acl', 'VERB', [by]), ('by', 'agent', 'ADP', [goddess]), ('the', 'det', 'DET', []), ('highest', 'amod', 'ADJ', []), ('Egyptian', 'amod', 'ADJ', []), ('goddess', 'pobj', 'NOUN', [the, highest, Egyptian, ,, Isis]), (',', 'punct', 'PUNCT', []), ('Isis', 'appos', 'PROPN', [,, creator]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('creator', 'appos', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [Sun]), ('the', 'det', 'DET', []), ('Sun', 'pobj', 'PROPN', [the, and]), ('and', 'cc', 'CCONJ', [])]"
He,is ,the eighth of the 10 evil demons of the sephirot of the Tree of Life ( see K ABBALAH ),eighth,is,he is the eighth of the 10 evil demons of the sephirot of the tree of life ( see k abbalah ) .,"[('He', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [He, eighth, .]), ('the', 'det', 'DET', []), ('eighth', 'attr', 'ADJ', [the, of, see]), ('of', 'prep', 'ADP', [demons]), ('the', 'det', 'DET', []), ('10', 'nummod', 'NUM', []), ('evil', 'amod', 'ADJ', []), ('demons', 'pobj', 'NOUN', [the, 10, evil, of]), ('of', 'prep', 'ADP', [sephirot]), ('the', 'det', 'DET', []), ('sephirot', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [Tree]), ('the', 'det', 'DET', []), ('Tree', 'pobj', 'PROPN', [the, of]), ('of', 'prep', 'ADP', [Life]), ('Life', 'pobj', 'PROPN', []), ('(', 'punct', 'PUNCT', []), ('see', 'parataxis', 'VERB', [(, ABBALAH, )]), ('K', 'compound', 'PROPN', []), ('ABBALAH', 'dobj', 'PROPN', [K]), (')', 'punct', 'PUNCT', []), ('.', 'punct', 'PUNCT', [])]"
spirits,are ,both good and,good,are,the aerial SPIRITS are both good and,"[('The', 'det', 'DET', []), ('aerial', 'amod', 'ADJ', []), ('spirits', 'nsubj', 'NOUN', [The, aerial]), ('are', 'ROOT', 'VERB', [spirits, good]), ('both', 'preconj', 'DET', []), ('good', 'acomp', 'ADJ', [both, and]), ('and', 'cc', 'CCONJ', [])]"
fear,is ,Abraxas,Abraxas,is,"according to jung , FEAR of abraxas is the beginning of wisdom , and","[('According', 'prep', 'VERB', [to]), ('to', 'prep', 'ADP', [Jung]), ('Jung', 'pobj', 'PROPN', []), (',', 'punct', 'PUNCT', []), ('fear', 'nsubj', 'NOUN', [of]), ('of', 'prep', 'ADP', [Abraxas]), ('Abraxas', 'pobj', 'PROPN', []), ('is', 'ROOT', 'VERB', [According, ,, fear, beginning]), ('the', 'det', 'DET', []), ('beginning', 'attr', 'NOUN', [the, of, ,, and]), ('of', 'prep', 'ADP', [wisdom]), ('wisdom', 'pobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
They,summoned by,one ’s self,self,summoned,they can be summoned by directing one ’s self to their compass position .,"[('They', 'nsubjpass', 'PRON', []), ('can', 'aux', 'VERB', []), ('be', 'auxpass', 'VERB', []), ('summoned', 'ROOT', 'VERB', [They, can, be, by, .]), ('by', 'prep', 'ADP', [directing]), ('directing', 'pcomp', 'VERB', [self, to]), ('one', 'poss', 'PRON', [’s]), ('’s', 'case', 'PART', []), ('self', 'dobj', 'NOUN', [one]), ('to', 'prep', 'ADP', [position]), ('their', 'poss', 'ADJ', []), ('compass', 'compound', 'NOUN', []), ('position', 'pobj', 'NOUN', [their, compass]), ('.', 'punct', 'PUNCT', [])]"
princes,summoned ,magic,magic,summoned,"the PRINCES can not be summoned by magic unless the magician wears their special seals as a lamen , or","[('The', 'det', 'DET', []), ('princes', 'nsubjpass', 'NOUN', [The]), ('can', 'aux', 'VERB', []), ('not', 'neg', 'ADV', []), ('be', 'auxpass', 'VERB', []), ('summoned', 'ROOT', 'VERB', [princes, can, not, be, by, wears]), ('by', 'agent', 'ADP', [magic]), ('magic', 'pobj', 'NOUN', []), ('unless', 'mark', 'ADP', []), ('the', 'det', 'DET', []), ('magician', 'nsubj', 'NOUN', [the]), ('wears', 'advcl', 'VERB', [unless, magician, SEALs]), ('their', 'poss', 'ADJ', []), ('special', 'amod', 'ADJ', []), ('SEALs', 'dobj', 'NOUN', [their, special, as]), ('as', 'prep', 'ADP', [lamen]), ('a', 'det', 'DET', []), ('lamen', 'pobj', 'NOUN', [a, ,, or]), (',', 'punct', 'PUNCT', []), ('or', 'cc', 'CCONJ', [])]"
epithet,is ,“ of the bloody mace,“,is,EPITHET is “ of the bloody mace .,"[('epithet', 'nsubj', 'NOUN', []), ('is', 'ROOT', 'VERB', [epithet, “, .]), ('“', 'attr', 'ADJ', [of]), ('of', 'prep', 'ADP', [mace]), ('the', 'det', 'DET', []), ('bloody', 'amod', 'ADJ', []), ('mace', 'pobj', 'NOUN', [the, bloody]), ('.', 'punct', 'PUNCT', [])]"
He,is ,the ﬁercest of demons,ﬁercest,is,he is the ﬁercest of demons and,"[('He', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [He, ﬁercest, and]), ('the', 'det', 'DET', []), ('ﬁercest', 'attr', 'ADJ', [the, of]), ('of', 'prep', 'ADP', [demons]), ('demons', 'pobj', 'NOUN', []), ('and', 'cc', 'CCONJ', [])]"
Adramalech,is of,uncertain origin,origin,is,adramalech is of uncertain origin .,"[('Adramalech', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Adramalech, of, .]), ('of', 'prep', 'ADP', [origin]), ('uncertain', 'amod', 'ADJ', []), ('origin', 'pobj', 'NOUN', [uncertain]), ('.', 'punct', 'PUNCT', [])]"
Adramalech,is ,"the grand chancellor of DEMONs , president of the DEVIL ’s general council , and",chancellor,is,"adramalech is the grand chancellor of demons , president of the devil ’s general council , and","[('Adramalech', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Adramalech, chancellor]), ('the', 'det', 'DET', []), ('grand', 'amod', 'ADJ', []), ('chancellor', 'attr', 'NOUN', [the, grand, of]), ('of', 'prep', 'ADP', [DEMONs]), ('DEMONs', 'pobj', 'NOUN', [,, president]), (',', 'punct', 'PUNCT', []), ('president', 'appos', 'NOUN', [of, ,, and]), ('of', 'prep', 'ADP', [council]), ('the', 'det', 'DET', []), ('DEVIL', 'poss', 'PROPN', [the, ’s]), ('’s', 'case', 'PART', []), ('general', 'amod', 'ADJ', []), ('council', 'pobj', 'NOUN', [DEVIL, general]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
She,is on,most powerful,powerful,is,she is most powerful on the nights of wednesday and,"[('She', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [She, powerful, on]), ('most', 'advmod', 'ADV', []), ('powerful', 'acomp', 'ADJ', [most]), ('on', 'prep', 'ADP', [nights]), ('the', 'det', 'DET', []), ('nights', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [Wednesday]), ('Wednesday', 'pobj', 'PROPN', [and]), ('and', 'cc', 'CCONJ', [])]"
Aeshma,is ,divinities,divinities,is,"in the hierarchy of zoroastrian daevas that mirrors a similar hierarchy of divinities , aeshma is opposed to asha vahishta , the amesha spenta , or","[('In', 'prep', 'ADP', [hierarchy]), ('the', 'det', 'DET', []), ('hierarchy', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [DAEVAs]), ('Zoroastrian', 'amod', 'ADJ', []), ('DAEVAs', 'pobj', 'NOUN', [Zoroastrian, mirrors]), ('that', 'nsubj', 'ADJ', []), ('mirrors', 'relcl', 'VERB', [that, hierarchy]), ('a', 'det', 'DET', []), ('similar', 'amod', 'ADJ', []), ('hierarchy', 'dobj', 'NOUN', [a, similar, of]), ('of', 'prep', 'ADP', [divinities]), ('divinities', 'pobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('Aeshma', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [In, ,, Aeshma, opposed]), ('opposed', 'acomp', 'VERB', [to]), ('to', 'prep', 'ADP', [Vahishta]), ('Asha', 'compound', 'PROPN', []), ('Vahishta', 'pobj', 'PROPN', [Asha, ,, Spenta]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('Amesha', 'compound', 'PROPN', []), ('Spenta', 'conj', 'PROPN', [the, Amesha, ,, or]), (',', 'punct', 'PUNCT', []), ('or', 'cc', 'CCONJ', [])]"
adversary,is ,"Sraosha ( Obedience ) , the principle of religious devotion and",Sraosha,is,"aeshma ’s chief ADVERSARY is sraosha ( obedience ) , the principle of religious devotion and","[('Aeshma', 'poss', 'PROPN', [’s]), ('’s', 'case', 'PART', []), ('chief', 'amod', 'ADJ', []), ('adversary', 'nsubj', 'NOUN', [Aeshma, chief]), ('is', 'ROOT', 'VERB', [adversary, Sraosha]), ('Sraosha', 'attr', 'PROPN', [Obedience, ,, principle]), ('(', 'punct', 'PUNCT', []), ('Obedience', 'appos', 'NOUN', [(, )]), (')', 'punct', 'PUNCT', []), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('principle', 'appos', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [devotion]), ('religious', 'amod', 'ADJ', []), ('devotion', 'pobj', 'NOUN', [religious, and]), ('and', 'cc', 'CCONJ', [])]"
Agares,was ,his fall,fall,was,"prior to his fall , agares was a member of the angelic order of virtues .","[('Prior', 'advmod', 'ADV', [to]), ('to', 'prep', 'ADP', [fall]), ('his', 'poss', 'ADJ', []), ('fall', 'pobj', 'NOUN', [his]), (',', 'punct', 'PUNCT', []), ('Agares', 'nsubj', 'PROPN', []), ('was', 'ROOT', 'VERB', [Prior, ,, Agares, member, .]), ('a', 'det', 'DET', []), ('member', 'attr', 'NOUN', [a, of]), ('of', 'prep', 'ADP', [order]), ('the', 'det', 'DET', []), ('angelic', 'amod', 'ADJ', []), ('order', 'pobj', 'NOUN', [the, angelic, of]), ('of', 'prep', 'ADP', [Virtues]), ('Virtues', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
he,is ,HELL,HELL,is,in HEll HE is tHE ﬁrst duke of tHE power of tHE east and,"[('In', 'prep', 'ADP', [HELL]), ('HELL', 'pobj', 'PROPN', []), ('he', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [In, he, duke, and]), ('the', 'det', 'DET', []), ('ﬁrst', 'amod', 'ADJ', []), ('duke', 'attr', 'NOUN', [the, ﬁrst, of]), ('of', 'prep', 'ADP', [power]), ('the', 'det', 'DET', []), ('power', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [east]), ('the', 'det', 'DET', []), ('east', 'pobj', 'NOUN', [the]), ('and', 'cc', 'CCONJ', [])]"
He,appears as,a handsome man riding a crocodile and,man,appears,he appears as a handsome man riding a crocodile and,"[('He', 'nsubj', 'PRON', []), ('appears', 'ROOT', 'VERB', [He, as]), ('as', 'prep', 'ADP', [man]), ('a', 'det', 'DET', []), ('handsome', 'amod', 'ADJ', []), ('man', 'pobj', 'NOUN', [a, handsome, riding]), ('riding', 'acl', 'VERB', [crocodile, and]), ('a', 'det', 'DET', []), ('crocodile', 'dobj', 'NOUN', [a]), ('and', 'cc', 'CCONJ', [])]"
He,teaches ,all languages,languages,teaches,"he teaches all languages , causes earthquakes , and","[('He', 'nsubj', 'PRON', []), ('teaches', 'ROOT', 'VERB', [He, languages, ,, causes]), ('all', 'det', 'DET', []), ('languages', 'dobj', 'NOUN', [all]), (',', 'punct', 'PUNCT', []), ('causes', 'conj', 'VERB', [earthquakes, ,, and]), ('earthquakes', 'dobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
Ahriman,was ,a primordial desert spirit who became the personiﬁcation of evil in Zoroastrianism,spirit,was,ahriman originally was a primordial desert spirit who became the personiﬁcation of evil in zoroastrianism .,"[('Ahriman', 'nsubj', 'PROPN', []), ('originally', 'advmod', 'ADV', []), ('was', 'ROOT', 'VERB', [Ahriman, originally, spirit, .]), ('a', 'det', 'DET', []), ('primordial', 'amod', 'ADJ', []), ('desert', 'compound', 'NOUN', []), ('spirit', 'attr', 'NOUN', [a, primordial, desert, became]), ('who', 'nsubj', 'NOUN', []), ('became', 'relcl', 'VERB', [who, personiﬁcation]), ('the', 'det', 'DET', []), ('personiﬁcation', 'attr', 'NOUN', [the, of, in]), ('of', 'prep', 'ADP', [evil]), ('evil', 'pobj', 'NOUN', []), ('in', 'prep', 'ADP', [Zoroastrianism]), ('Zoroastrianism', 'pobj', 'PROPN', []), ('.', 'punct', 'PUNCT', [])]"
he,is ,immortal,immortal,is,"as such , HE is not immortal , and","[('As', 'mark', 'ADP', []), ('such', 'advmod', 'ADJ', [As]), (',', 'punct', 'PUNCT', []), ('he', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [such, ,, he, not, immortal, ,, and]), ('not', 'neg', 'ADV', []), ('immortal', 'acomp', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
battleground,is ,Earth,Earth,is,their BATTLEGROUND is earth .,"[('their', 'poss', 'ADJ', []), ('battleground', 'nsubj', 'NOUN', [their]), ('is', 'ROOT', 'VERB', [battleground, Earth, .]), ('Earth', 'attr', 'PROPN', []), ('.', 'punct', 'PUNCT', [])]"
saviors,appear ,the fourth era,era,appear,"after the fourth era , three SAVIORS will appear , who will destroy ahriman and","[('After', 'prep', 'ADP', [era]), ('the', 'det', 'DET', []), ('fourth', 'amod', 'ADJ', []), ('era', 'pobj', 'NOUN', [the, fourth]), (',', 'punct', 'PUNCT', []), ('three', 'nummod', 'NUM', []), ('saviors', 'nsubj', 'NOUN', [three]), ('will', 'aux', 'VERB', []), ('appear', 'ROOT', 'VERB', [After, ,, saviors, will, ,, destroy]), (',', 'punct', 'PUNCT', []), ('who', 'nsubj', 'NOUN', []), ('will', 'aux', 'VERB', []), ('destroy', 'ccomp', 'VERB', [who, will, Ahriman]), ('Ahriman', 'dobj', 'PROPN', [and]), ('and', 'cc', 'CCONJ', [])]"
Ormazd,were ,Ahura Mazda,Mazda,were,"ormazd ( a contraction of ahura mazda ) were twins born to zuvan , the creator deity .","[('Ormazd', 'nsubj', 'PROPN', [(, contraction, )]), ('(', 'punct', 'PUNCT', []), ('a', 'det', 'DET', []), ('contraction', 'appos', 'NOUN', [a, of]), ('of', 'prep', 'ADP', [Mazda]), ('Ahura', 'compound', 'PROPN', []), ('Mazda', 'pobj', 'PROPN', [Ahura]), (')', 'punct', 'PUNCT', []), ('were', 'ROOT', 'VERB', [Ormazd, twins, .]), ('twins', 'attr', 'NOUN', [born]), ('born', 'acl', 'VERB', [to]), ('to', 'prep', 'ADP', [Zuvan]), ('Zuvan', 'pobj', 'PROPN', [,, deity]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('creator', 'compound', 'NOUN', []), ('deity', 'appos', 'NOUN', [the, creator]), ('.', 'punct', 'PUNCT', [])]"
that,is ,Ahriman,Ahriman,is,"the earth is presently under the rule of ahriman ; THAT is why there are drought , famine , war , disease , pestilence , and","[('The', 'det', 'DET', []), ('Earth', 'nsubj', 'PROPN', [The]), ('is', 'ccomp', 'VERB', [Earth, presently, under]), ('presently', 'advmod', 'ADV', []), ('under', 'prep', 'ADP', [rule]), ('the', 'det', 'DET', []), ('rule', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [Ahriman]), ('Ahriman', 'pobj', 'PROPN', []), (';', 'punct', 'PUNCT', []), ('that', 'nsubj', 'DET', []), ('is', 'ROOT', 'VERB', [is, ;, that, are]), ('why', 'advmod', 'ADV', []), ('there', 'expl', 'ADV', []), ('are', 'ccomp', 'VERB', [why, there, drought]), ('drought', 'attr', 'NOUN', [,, famine]), (',', 'punct', 'PUNCT', []), ('famine', 'conj', 'NOUN', [,, war]), (',', 'punct', 'PUNCT', []), ('war', 'conj', 'NOUN', [,, disease]), (',', 'punct', 'PUNCT', []), ('disease', 'conj', 'NOUN', [,, pestilence]), (',', 'punct', 'PUNCT', []), ('pestilence', 'conj', 'NOUN', [,, and]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
Zohak,was ,so impressed with him that he offered to reward him,impressed,was,zohak was so impressed with him that he offered to reward him .,"[('Zohak', 'nsubj', 'PROPN', []), ('was', 'ROOT', 'VERB', [Zohak, impressed, .]), ('so', 'advmod', 'ADV', []), ('impressed', 'acomp', 'ADJ', [so, with, offered]), ('with', 'prep', 'ADP', [him]), ('him', 'pobj', 'PRON', []), ('that', 'mark', 'ADP', []), ('he', 'nsubj', 'PRON', []), ('offered', 'ccomp', 'VERB', [that, he, reward]), ('to', 'aux', 'PART', []), ('reward', 'xcomp', 'VERB', [to, him]), ('him', 'dobj', 'PRON', []), ('.', 'punct', 'PUNCT', [])]"
Aim,is ,a strong duke,duke,is,aim is a strong duke .,"[('Aim', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Aim, duke, .]), ('a', 'det', 'DET', []), ('strong', 'amod', 'ADJ', []), ('duke', 'attr', 'NOUN', [a, strong]), ('.', 'punct', 'PUNCT', [])]"
He,appears as,"a handsome man with three heads : a SERPENT , a man with   two stars on his forehead , and",man,appears,"he appears as a handsome man with three heads : a serpent , a man with   two stars on his forehead , and","[('He', 'nsubj', 'PRON', []), ('appears', 'ROOT', 'VERB', [He, as]), ('as', 'prep', 'ADP', [man]), ('a', 'det', 'DET', []), ('handsome', 'amod', 'ADJ', []), ('man', 'pobj', 'NOUN', [a, handsome, with]), ('with', 'prep', 'ADP', [heads]), ('three', 'nummod', 'NUM', []), ('heads', 'pobj', 'NOUN', [three, :, SERPENT]), (':', 'punct', 'PUNCT', []), ('a', 'det', 'DET', []), ('SERPENT', 'appos', 'PROPN', [a, ,, man, stars]), (',', 'punct', 'PUNCT', []), ('a', 'det', 'DET', []), ('man', 'appos', 'NOUN', [a, with]), ('with', 'prep', 'ADP', [ ]), (' ', '', 'SPACE', []), ('two', 'nummod', 'NUM', []), ('stars', 'appos', 'NOUN', [two, on, ,, and]), ('on', 'prep', 'ADP', [forehead]), ('his', 'poss', 'ADJ', []), ('forehead', 'pobj', 'NOUN', [his]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
he,carries ,which,which,carries,"carries a blazing ﬁrebrand , with which HE spreads much destruction and","[('carries', 'ROOT', 'VERB', [ﬁrebrand]), ('a', 'det', 'DET', []), ('blazing', 'amod', 'ADJ', []), ('ﬁrebrand', 'dobj', 'NOUN', [a, blazing, ,, spreads]), (',', 'punct', 'PUNCT', []), ('with', 'prep', 'ADP', [which]), ('which', 'pobj', 'ADJ', []), ('he', 'nsubj', 'PRON', []), ('spreads', 'relcl', 'VERB', [with, he, destruction]), ('much', 'amod', 'ADJ', []), ('destruction', 'dobj', 'NOUN', [much, and]), ('and', 'cc', 'CCONJ', [])]"
