subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
in | prep | ADP | [ ]
  |  | SPACE | []
Sicily | npadvmod | PROPN | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [arrived, he,  , comed, ;, died, .]
  |  | SPACE | []
wel- | amod | NOUN | []
comed | attr | NOUN | [wel-, at]
at | prep | ADP | [Drepanum]
Drepanum | pobj | PROPN | [by]
by | prep | ADP | [Acestes]
Acestes | pobj | PROPN | []
; | punct | PUNCT | []
while | mark | ADP | []
there | advmod | ADV | []
his | poss | ADJ | [ ]
  |  | SPACE | []
aged | amod | ADJ | [ ]
  |  | SPACE | []
father | nsubj | NOUN | [his, aged, ,, Anchises, ,]
, | punct | PUNCT | []
Anchises | appos | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
died | advcl | VERB | [while, there, father]
. | punct | PUNCT | []",he,comed,was
Numicius (he),the company of the gods,was received into,"having   been   purified   in   the waters   of   the   river  ===he   was   finally   received into the company of the gods and became a paternal god of the latins .  ===his   great - grandson ,   brutus ,   brought   a group   of   trojans   to   england   and   founded troynovant   ( new   troy ) ,   later   to   be   called london , and aeneas is hence regarded as the legendary founder of the british people and , supposedly ,   the   forefather   of   king   lear .","he | nsubj | PRON | [ ]
  |  | SPACE | []
was | aux | VERB | [he,  ]
  |  | SPACE | []
finally | advmod | ADV | [ ]
  |  | SPACE | []
received | ROOT | VERB | [was, finally, into, and, became, .]
into | prep | ADP | [company]
the | det | DET | []
company | pobj | NOUN | [the, of]
of | prep | ADP | [gods]
the | det | DET | []
gods | pobj | NOUN | [the]
and | cc | CCONJ | []
became | conj | VERB | [god]
a | det | DET | []
paternal | amod | ADJ | []
god | attr | NOUN | [a, paternal, of]
of | prep | ADP | [Latins]
the | det | DET | []
Latins | pobj | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,company,received
This Aeolus  ,distinguished   from   the one described in the next definition,should be ,"his foolish companions thought the goatskin   was   full   of   wine ,   but   when   they opened   it   they   caused   a   fearful   storm   that drove odysseus back onto aeolia again , and aeolus refused odysseus any further help .   ===this aeolus   should   be   distinguished   from   the one described in the next definition .  ===2 .","This | det | DET | []
Aeolus | nsubj | PROPN | [This,  ]
  |  | SPACE | []
should | aux | VERB | [ ]
  |  | SPACE | []
be | ROOT | VERB | [Aeolus, should,  , distinguished, .]
  |  | SPACE | []
distinguished | acomp | ADJ | [ , from]
  |  | SPACE | []
from | prep | ADP | [ , one]
  |  | SPACE | []
the | det | DET | []
one | pobj | NOUN | [the, described]
described | acl | VERB | [in]
in | prep | ADP | [definition]
the | det | DET | []
next | amod | ADJ | []
definition | pobj | NOUN | [the, next]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Aeolus,distinguished,be
Endymion (he),"king of   Elis ,  ", was ,"the son of endymion .===originally he was king of   elis ,   but   having   accidentally   killed   apis during a chariot race he was banished across   agamemnon 17   the gulf of corinth , where he conquered the country that became known as aetolia .===he had two sons , pleuron and calydon , their names being used for cities within aetolia .  ","Originally | advmod | ADV | []
he | nsubj | PRON | []
was | ROOT | VERB | [Originally, he, king, but, killed, .]
king | attr | NOUN | [of]
of | prep | ADP | [ , Elis]
  |  | SPACE | []
Elis | pobj | PROPN | [,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
but | cc | CCONJ | [ ]
  |  | SPACE | []
having | csubj | VERB | [ ]
  |  | SPACE | []
accidentally | advmod | ADV | [ ]
  |  | SPACE | []
killed | advcl | VERB | [having, accidentally,  , Apis, during, 17, Gulf]
  |  | SPACE | []
Apis | dobj | PROPN | []
during | prep | ADP | [race]
a | det | DET | []
chariot | compound | NOUN | []
race | pobj | NOUN | [a, chariot, banished]
he | nsubjpass | PRON | []
was | auxpass | VERB | []
banished | relcl | VERB | [he, was, across, Agamemnon]
across | prep | ADP | [ ]
  |  | SPACE | []
Agamemnon | npadvmod | PROPN | []
17 | punct | NUM | [ ]
  |  | SPACE | []
the | det | DET | []
Gulf | dobj | PROPN | [the, of, ,, conquered]
of | prep | ADP | [Corinth]
Corinth | pobj | PROPN | []
, | punct | PUNCT | []
where | advmod | ADV | []
he | nsubj | PRON | []
conquered | relcl | VERB | [where, he, country]
the | det | DET | []
country | dobj | NOUN | [the, known]
that | nsubjpass | ADJ | []
became | auxpass | VERB | []
known | relcl | VERB | [that, became, as]
as | prep | ADP | [Aetolia]
Aetolia | pobj | PROPN | []
. | punct | PUNCT | []",he,king,was
Aphrodite  ,him  , carried ,"with   achilles   sulking   in   his   tent   and   the trojans now getting the better of the greeks , agamemnon was only too pleased to grant a truce so that menelaus and paris might settle their quarrel in single combat .===but with paris losing , aphrodite   carried   him   away ,   and   the battle restarted .===still the trojans held the upper hand , and in alarm agamemnon attempted to induce achilles back into the fray by offering to return briseis .","But | cc | CCONJ | []
with | prep | ADP | [losing]
Paris | nsubj | PROPN | []
losing | pcomp | VERB | [Paris]
, | punct | PUNCT | []
Aphrodite | nsubj | PROPN | [ ]
  |  | SPACE | []
carried | ROOT | VERB | [But, with, ,, Aphrodite,  , him, away, ,, and, restarted]
  |  | SPACE | []
him | dobj | PRON | [ ]
  |  | SPACE | []
away | advmod | ADV | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
the | det | DET | []
battle | nsubj | NOUN | [the]
restarted | conj | VERB | [battle, .]
. | punct | PUNCT | []",Aphrodite,him,carried
Dionysos (he),driven mad, was ,"dionysos  ===he   was   driven mad and , when caught spying on the orgiastic worship of the god , was torn to pieces by the maenads ,   or   bacchae .===among   these   frenzied worshippers were his own mother , agave , and her sisters , autonoë and ino .","he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [he,  , mad, and, ,, caught, ,, torn, .]
  |  | SPACE | []
driven | amod | VERB | []
mad | acomp | ADJ | [driven]
and | cc | CCONJ | []
, | punct | PUNCT | []
when | advmod | ADV | []
caught | advcl | VERB | [when, spying]
spying | xcomp | VERB | [on]
on | prep | ADP | [worship]
the | det | DET | []
orgiastic | amod | ADJ | []
worship | pobj | NOUN | [the, orgiastic, of]
of | prep | ADP | [god]
the | det | DET | []
god | pobj | NOUN | [the]
, | punct | PUNCT | []
was | auxpass | VERB | []
torn | conj | VERB | [was, to]
to | prep | ADP | [pieces]
pieces | pobj | NOUN | [by, or, Bacchae]
by | prep | ADP | [Maenads]
the | det | DET | []
Maenads | pobj | PROPN | [the, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
or | cc | CCONJ | [ ]
  |  | SPACE | []
Bacchae | conj | PROPN | []
. | punct | PUNCT | []",he,mad,was
Salamis (he),"a courageous fighter who boasted that he did not need the help of the gods and brought 12 ships and his half - brother ,   Teucer ,   the   best   archer   in   all Greece ,   to   the   Trojan   War", was ,"the son of telamon , king of salamis .===known as ajax the greater or great ajax to distinguish him from ajax the lesser , he was a courageous fighter who boasted that he did not need the help of the gods and brought 12 ships and his half - brother ,   teucer ,   the   best   archer   in   all greece ,   to   the   trojan   war .  ===he   was   distin- guished by his huge shield .  ","Known | advcl | VERB | [as, distinguish]
as | prep | ADP | [Ajax]
Ajax | pobj | PROPN | [Greater]
the | det | DET | []
Greater | appos | PROPN | [the, or, Ajax]
or | cc | CCONJ | []
Great | compound | PROPN | []
Ajax | conj | PROPN | [Great]
to | aux | PART | []
distinguish | advcl | VERB | [to, him, from]
him | dobj | PRON | []
from | prep | ADP | [Ajax]
Ajax | pobj | PROPN | [Lesser]
the | det | DET | []
Lesser | appos | ADJ | [the]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [Known, ,, he, fighter, .]
a | det | DET | []
courageous | amod | ADJ | []
fighter | attr | NOUN | [a, courageous, boasted]
who | nsubj | NOUN | []
boasted | relcl | VERB | [who, need]
that | mark | ADP | []
he | nsubj | PRON | []
did | aux | VERB | []
not | neg | ADV | []
need | ccomp | VERB | [that, he, did, not, help, and, brought]
the | det | DET | []
help | dobj | NOUN | [the, of]
of | prep | ADP | [gods]
the | det | DET | []
gods | pobj | NOUN | [the]
and | cc | CCONJ | []
brought | conj | VERB | [ships, to]
12 | nummod | NUM | []
ships | dobj | NOUN | [12, and, brother]
and | cc | CCONJ | []
his | poss | ADJ | []
half | compound | ADJ | []
- | punct | PUNCT | []
brother | conj | NOUN | [his, half, -, ,, Teucer, ,, archer, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Teucer | appos | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
best | amod | ADJ | [ ]
  |  | SPACE | []
archer | appos | NOUN | [the, best,  , in, Greece]
  |  | SPACE | []
in | prep | ADP | [ ]
  |  | SPACE | []
all | det | DET | []
Greece | appos | PROPN | [all]
, | punct | PUNCT | [ ]
  |  | SPACE | []
to | prep | ADP | [ , War]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Trojan | compound | PROPN | [ ]
  |  | SPACE | []
War | pobj | PROPN | [the, Trojan]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,fighter,was
Alcmene (he),"determined   to remove the threat of Alcmene , Heracles , and his   children   and  ", was ,"later he was returned to alcmene .  ===when eurystheus acceded to the throne of the   house   of   perseus ,   he   was   determined   to remove the threat of alcmene , heracles , and his   children   and   tried   to   expel   them   from greece .===in athens they found protection , and when   eurystheus   attacked   the   city   he   was resisted by theseus or his sons , demophoön , iolaus , and hyllus .","When | advmod | ADV | []
Eurystheus | nsubj | PROPN | []
acceded | advcl | VERB | [When, Eurystheus, to]
to | prep | ADP | [throne]
the | det | DET | []
throne | pobj | NOUN | [the, of]
of | prep | ADP | [house]
the | det | DET | [ ]
  |  | SPACE | []
house | pobj | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , Perseus]
  |  | SPACE | []
Perseus | pobj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [acceded, ,, he,  , determined, tried, .]
  |  | SPACE | []
determined | acomp | VERB | [ , remove]
  |  | SPACE | []
to | aux | PART | []
remove | xcomp | VERB | [to, threat]
the | det | DET | []
threat | dobj | NOUN | [the, of]
of | prep | ADP | [Alcmene]
Alcmene | pobj | PROPN | [,, Heracles]
, | punct | PUNCT | []
Heracles | appos | PROPN | [,, and, children]
, | punct | PUNCT | []
and | cc | CCONJ | []
his | poss | ADJ | [ ]
  |  | SPACE | []
children | conj | NOUN | [his,  , and]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
tried | dep | VERB | [ , to, expel]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
expel | advcl | NOUN | [ , them, from]
  |  | SPACE | []
them | dobj | PRON | [ ]
  |  | SPACE | []
from | prep | ADP | [Greece]
Greece | pobj | PROPN | []
. | punct | PUNCT | []",he,determined,was
The winged sandals worn by and therefore an attribute   of   Hermes,the petasus and the caduceus, were ,"alipes greek  ===the winged sandals worn by and therefore an attribute   of   hermes ,   whose   other   attributes were the petasus and the caduceus .  ===alma mater  ","The | det | DET | []
winged | amod | ADJ | []
sandals | nsubj | NOUN | [The, winged, worn, and, attribute]
worn | acl | VERB | [by]
by | agent | ADP | []
and | cc | CCONJ | []
therefore | advmod | ADV | []
an | det | DET | []
attribute | conj | NOUN | [therefore, an,  , of]
  |  | SPACE | []
of | prep | ADP | [ , Hermes]
  |  | SPACE | []
Hermes | pobj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
whose | poss | ADJ | [ ]
  |  | SPACE | []
other | amod | ADJ | [ ]
  |  | SPACE | []
attributes | nsubj | NOUN | [whose, other]
were | ROOT | VERB | [sandals, ,, attributes, petasus, .]
the | det | DET | []
petasus | attr | NOUN | [the, and, caduceus]
and | cc | CCONJ | []
the | det | DET | []
caduceus | conj | NOUN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",sandals,petasus,were
One of the 12 labors of Heracles,capture   the   girdle   of   the   Amazon Queen Hippolyta ( Hippolyte ), was ,"among   the   heroes   was bellerophon .===one of the 12 labors of heracles was   to   capture   the   girdle   of   the   amazon queen hippolyta ( hippolyte ) .===it was either on this occasion or later that theseus , who accom- panied   heracles ,   carried   off   the   amazon antiope , though another tradition says that he did   not   carry   off  ","One | nsubj | NUM | [of]
of | prep | ADP | [labors]
the | det | DET | []
12 | nummod | NUM | []
labors | pobj | NOUN | [the, 12, of]
of | prep | ADP | [Heracles]
Heracles | pobj | PROPN | []
was | ROOT | VERB | [One,  , to, .]
  |  | SPACE | []
to | prep | ADP | [ , capture]
  |  | SPACE | []
capture | pobj | NOUN | [ , girdle]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
girdle | appos | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , Hippolyta]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Amazon | compound | PROPN | []
Queen | compound | PROPN | []
Hippolyta | pobj | PROPN | [the, Amazon, Queen, Hippolyte, )]
( | punct | PUNCT | []
Hippolyte | appos | PROPN | [(]
) | punct | PUNCT | []
. | punct | PUNCT | []",One,capture,was
Poseidon,a philander-, was ,"her offspring included triton and , some- times ,   the   nereides ,   though   the   latter   are usually said to be the children of nereus , her father .===poseidon , however , was a philander-===er like his brother , zeus , and had many other children by mortals and divinities .","Poseidon | nsubj | PROPN | []
, | punct | PUNCT | []
however | advmod | ADV | []
, | punct | PUNCT | []
was | ROOT | VERB | [Poseidon, ,, however, ,, philander-]
a | det | DET | []
philander- | attr | NOUN | [a]",Poseidon,philander-,was
"Another of Poseidon ’s children , by Aethra ,","Theseus , who on his way to Crete dived into the sea to retrieve a ring that Minos had thrown overboard to challenge his parentage", was ,"when he paid   court   to   the   nymph   scylla ,   who   was particularly   hateful   to   amphitrite ,   it   was said that it was amphitrite who turned her into a monster with six barking heads and 12 feet .  ===another of poseidon ’s children , by aethra , was theseus , who on his way to crete dived into the sea to retrieve a ring that minos had thrown overboard to challenge his parentage .===while underwater amphitrite entertained him at her court among the nereides , welcoming him as a son of poseidon and giving him the wreath   of   roses   she   had   received   from aphrodite .  ","Another | nsubj | DET | [of, ,, by, ,]
of | prep | ADP | [children]
Poseidon | poss | PROPN | [’s]
’s | case | PART | []
children | pobj | NOUN | [Poseidon]
, | punct | PUNCT | []
by | prep | ADP | [Aethra]
Aethra | pobj | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [Another, Theseus, .]
Theseus | attr | PROPN | [,, dived]
, | punct | PUNCT | []
who | nsubj | NOUN | []
on | prep | ADP | [way]
his | poss | ADJ | []
way | pobj | NOUN | [his, to]
to | prep | ADP | [Crete]
Crete | pobj | PROPN | []
dived | relcl | VERB | [who, on, into, retrieve]
into | prep | ADP | [sea]
the | det | DET | []
sea | pobj | NOUN | [the]
to | aux | PART | []
retrieve | advcl | VERB | [to, ring]
a | det | DET | []
ring | dobj | NOUN | [a, thrown]
that | dobj | ADJ | []
Minos | nsubj | PROPN | []
had | aux | VERB | []
thrown | relcl | VERB | [that, Minos, had, overboard, challenge]
overboard | advmod | ADV | []
to | aux | PART | []
challenge | advcl | VERB | [to, parentage]
his | poss | ADJ | []
parentage | dobj | NOUN | [his]
. | punct | PUNCT | []",Another,Theseus,was
