Subject,Predicate W/ Prepositions,Object Subtree,Sentence in Context,Object,Predicate,Parse Tree
Apollyon,is ,the Greek name,”===APOLLYON is the greek name .  ===in magic abaddon is often equated with satan and samael .,name,is,"Apollyon | nsubj | PROPN | []
spirits,are ,both good and evil,"aerial spirits of solomon demons associated with the four elements who were commanded by the legendary king solomon .===the aerial SPIRITS are both good and evil .===they can show anything in the world that is hidden and can fetch , carry , and do anything contained in the four elements of earth , air , water , and ﬁre .",good,are,"The | det | DET | []
aerial | amod | ADJ | []
spirits | nsubj | NOUN | [The, aerial]
are | ROOT | VERB | [spirits, good, .]
both | preconj | DET | []
good | acomp | ADJ | [both, and, evil]
and | cc | CCONJ | []
evil | conj | NOUN | []
. | punct | PUNCT | []"
fear,is ,Abraxas,"in jungian psychology there is no easy way out of psychic conﬂict ; one must not only ﬁght on the side of the angels but occasionally join the host of the fallen angels .===according to jung , FEAR of abraxas is the beginning of wisdom , and liberation , or gnosis , is achieved by not resisting .  ===further reading :  ",Abraxas,is,"According | prep | VERB | [to]
to | prep | ADP | [Jung]
Jung | pobj | PROPN | []
, | punct | PUNCT | []
fear | nsubj | NOUN | [of]
of | prep | ADP | [Abraxas]
Abraxas | pobj | PROPN | []
is | ROOT | VERB | [According, ,, fear, beginning, achieved]
the | det | DET | []
beginning | attr | NOUN | [the, of, ,, and, liberation]
of | prep | ADP | [wisdom]
wisdom | pobj | NOUN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
liberation | conj | NOUN | [,, or, gnosis]
, | punct | PUNCT | []
or | cc | CCONJ | []
gnosis | conj | NOUN | []
, | punct | PUNCT | []
is | auxpass | VERB | []
achieved | conj | VERB | [,, is, by, .]
by | prep | ADP | [resisting]
not | neg | ADV | []
resisting | pcomp | VERB | [not]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
They,summoned by,one ’s self,the aerial spirits are governed by 31 princes who are aligned to points on a compass .===THEY can be summoned by directing one ’s self to their compass position .===the princes have dukes and myriad ministering spirits or demons under their command .,self,summoned,"They | nsubjpass | PRON | []
can | aux | VERB | []
be | auxpass | VERB | []
summoned | ROOT | VERB | [They, can, be, by, .]
by | prep | ADP | [directing]
directing | pcomp | VERB | [self, to]
one | poss | PRON | [’s]
’s | case | PART | []
self | dobj | NOUN | [one]
to | prep | ADP | [position]
their | poss | ADJ | []
compass | compound | NOUN | []
position | pobj | NOUN | [their, compass]
. | punct | PUNCT | []"
princes,summoned ,magic,"the princes have dukes and myriad ministering spirits or demons under their command .===the PRINCES can not be summoned by magic unless the magician wears their special seals as a lamen , or pendant , upon the chest .===the conjurations of the aerial spirits are given in a grimoire , the lemegeton , also known as the lesser key of solomon .  ",magic,summoned,"The | det | DET | []
princes | nsubjpass | NOUN | [The]
can | aux | VERB | []
not | neg | ADV | []
be | auxpass | VERB | []
summoned | ROOT | VERB | [princes, can, not, be, by, wears, .]
by | agent | ADP | [magic]
magic | pobj | NOUN | []
unless | mark | ADP | []
the | det | DET | []
magician | nsubj | NOUN | [the]
wears | advcl | VERB | [unless, magician, SEALs, ,, upon]
their | poss | ADJ | []
special | amod | ADJ | []
SEALs | dobj | NOUN | [their, special, as]
as | prep | ADP | [lamen]
a | det | DET | []
lamen | pobj | NOUN | [a, ,, or, pendant]
, | punct | PUNCT | []
or | cc | CCONJ | []
pendant | conj | NOUN | []
, | punct | PUNCT | []
upon | prep | ADP | [chest]
the | det | DET | []
chest | pobj | NOUN | [the]
. | punct | PUNCT | []"
epithet,is ,“ of the bloody mace,aeshma ’s===EPITHET is “ of the bloody mace .===”,“,is,"epithet | nsubj | NOUN | []
is | ROOT | VERB | [epithet, “, .]
“ | attr | ADJ | [of]
of | prep | ADP | [mace]
the | det | DET | []
bloody | amod | ADJ | []
mace | pobj | NOUN | [the, bloody]
. | punct | PUNCT | []"
He,is ,the ﬁercest of demons,"”===HE is tHE ﬁercest of demons and is responsible for all acts of   new york : simon & schuster , 1974 .  ===the old testament pseudepigrapha .",ﬁercest,is,"He | nsubj | PRON | []
is | ROOT | VERB | [He, ﬁercest, and, is, .]
the | det | DET | []
ﬁercest | attr | ADJ | [the, of]
of | prep | ADP | [demons]
demons | pobj | NOUN | []
and | cc | CCONJ | []
is | conj | VERB | [responsible]
responsible | acomp | ADJ | [for]
for | prep | ADP | [acts]
all | det | DET | []
acts | pobj | NOUN | [all, of]
of | prep | ADP | [ , York]
  |  | SPACE | []
New | compound | PROPN | []
York | pobj | PROPN | [New, :, Simon]
: | punct | PUNCT | []
Simon | appos | PROPN | [&, Schuster, ,, 1974]
& | cc | CCONJ | []
Schuster | conj | PROPN | []
, | punct | PUNCT | []
1974 | appos | NUM | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Adramalech,is of,uncertain origin,"a chieftain of hell .===ADRAMALECH is of uncertain origin .===possibly he was derived from a samarian sun god worshipped by the sepharvites , who burned children as a sacriﬁcial offering to him .  ",origin,is,"Adramalech | nsubj | PROPN | []
is | ROOT | VERB | [Adramalech, of, .]
of | prep | ADP | [origin]
uncertain | amod | ADJ | []
origin | pobj | NOUN | [uncertain]
. | punct | PUNCT | []"
Adramalech,is ,"the grand chancellor of DEMONs , president of the DEVIL ’s general council , and governor of the   Adramelech ( DICTIONNAIRE INFERNAL )","possibly he was derived from a samarian sun god worshipped by the sepharvites , who burned children as a sacriﬁcial offering to him .  ===ADRAMALECH is the grand chancellor of demons , president of the devil ’s general council , and governor of the   adramelech ( dictionnaire infernal )===4  ",chancellor,is,"Adramalech | nsubj | PROPN | []
is | ROOT | VERB | [Adramalech, chancellor]
the | det | DET | []
grand | amod | ADJ | []
chancellor | attr | NOUN | [the, grand, of]
of | prep | ADP | [DEMONs]
DEMONs | pobj | NOUN | [,, president]
, | punct | PUNCT | []
president | appos | NOUN | [of, ,, and, governor]
of | prep | ADP | [council]
the | det | DET | []
DEVIL | poss | PROPN | [the, ’s]
’s | case | PART | []
general | amod | ADJ | []
council | pobj | NOUN | [DEVIL, general]
, | punct | PUNCT | []
and | cc | CCONJ | []
governor | conj | NOUN | [of]
of | prep | ADP | [Adramelech]
the | det | DET | [ ]
  |  | SPACE | []
Adramelech | pobj | PROPN | [the, INFERNAL]
( | punct | PUNCT | []
DICTIONNAIRE | compound | PROPN | []
INFERNAL | appos | PROPN | [(, DICTIONNAIRE, )]
) | punct | PUNCT | []"
She,is on,most powerful,"agrath commands 18 myriads ( legions ) of evil spirits and rides in a big chariot .===SHE is most powerful on the nights of wednesday and saturday , when SHE and her mother devour victims , especially people who are out alone .  ===in the hierarchy of zoroastrian daevas that mirrors a similar hierarchy of divinities , aeshma is opposed to asha vahishta , the amesha spenta , or good spirit , who embodies truth .",powerful,is,"She | nsubj | PRON | []
is | ROOT | VERB | [She, powerful, on, .]
most | advmod | ADV | []
powerful | acomp | ADJ | [most]
on | prep | ADP | [nights]
the | det | DET | []
nights | pobj | NOUN | [the, of]
of | prep | ADP | [Wednesday]
Wednesday | pobj | PROPN | [and, Saturday, ,, devour, ,, people]
and | cc | CCONJ | []
Saturday | conj | PROPN | []
, | punct | PUNCT | []
when | advmod | ADV | []
she | nsubj | PRON | [and, mother]
and | cc | CCONJ | []
her | poss | ADJ | []
mother | conj | NOUN | [her]
devour | relcl | VERB | [when, she, victims]
victims | dobj | NOUN | []
, | punct | PUNCT | []
especially | advmod | ADV | []
people | appos | NOUN | [especially, are]
who | nsubj | NOUN | []
are | relcl | VERB | [who, out, alone]
out | advmod | ADV | []
alone | advmod | ADJ | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Aeshma,is ,divinities,"she is most powerful on the nights of wednesday and saturday , when she and her mother devour victims , especially people who are out alone .  ===in the hierarchy of zoroastrian daevas that mirrors a similar hierarchy of divinities , AESHMA is opposed to asha vahishta , the amesha spenta , or good spirit , who embodies truth .===aeshma ’s chief adversary is sraosha ( obedience ) , the principle of religious devotion and discipline .",divinities,is,"In | prep | ADP | [hierarchy]
the | det | DET | []
hierarchy | pobj | NOUN | [the, of]
of | prep | ADP | [DAEVAs]
Zoroastrian | amod | ADJ | []
DAEVAs | pobj | NOUN | [Zoroastrian, mirrors]
that | nsubj | ADJ | []
mirrors | relcl | VERB | [that, hierarchy]
a | det | DET | []
similar | amod | ADJ | []
hierarchy | dobj | NOUN | [a, similar, of]
of | prep | ADP | [divinities]
divinities | pobj | NOUN | []
, | punct | PUNCT | []
Aeshma | nsubj | PROPN | []
is | ROOT | VERB | [In, ,, Aeshma, opposed, .]
opposed | acomp | VERB | [to]
to | prep | ADP | [Vahishta]
Asha | compound | PROPN | []
Vahishta | pobj | PROPN | [Asha, ,, Spenta, ,, embodies]
, | punct | PUNCT | []
the | det | DET | []
Amesha | compound | PROPN | []
Spenta | conj | PROPN | [the, Amesha, ,, or, spirit]
, | punct | PUNCT | []
or | cc | CCONJ | []
good | amod | ADJ | []
spirit | conj | NOUN | [good]
, | punct | PUNCT | []
who | nsubj | NOUN | []
embodies | relcl | VERB | [who, Truth]
Truth | dobj | PROPN | []
. | punct | PUNCT | []"
adversary,is ,"Sraosha ( Obedience ) , the principle of religious devotion and discipline","in the hierarchy of zoroastrian daevas that mirrors a similar hierarchy of divinities , aeshma is opposed to asha vahishta , the amesha spenta , or good spirit , who embodies truth .===aeshma ’s chief ADVERSARY is sraosha ( obedience ) , the principle of religious devotion and discipline .===aeshma distracts people from proper worship .",Sraosha,is,"Aeshma | poss | PROPN | [’s]
’s | case | PART | []
chief | amod | ADJ | []
adversary | nsubj | NOUN | [Aeshma, chief]
is | ROOT | VERB | [adversary, Sraosha, .]
Sraosha | attr | PROPN | [Obedience, ,, principle]
( | punct | PUNCT | []
Obedience | appos | NOUN | [(, )]
) | punct | PUNCT | []
, | punct | PUNCT | []
the | det | DET | []
principle | appos | NOUN | [the, of]
of | prep | ADP | [devotion]
religious | amod | ADJ | []
devotion | pobj | NOUN | [religious, and, discipline]
and | cc | CCONJ | []
discipline | conj | NOUN | []
. | punct | PUNCT | []"
Agares,was ,his fall,"agares fallen angel and the second of the 72 spirits of solomon .===prior to his fall , AGARES was a member of the angelic order of virtues .===in hell he is the ﬁrst duke of the power of the east and rules 31 legions of demons .",fall,was,"Prior | advmod | ADV | [to]
to | prep | ADP | [fall]
his | poss | ADJ | []
fall | pobj | NOUN | [his]
, | punct | PUNCT | []
Agares | nsubj | PROPN | []
was | ROOT | VERB | [Prior, ,, Agares, member, .]
a | det | DET | []
member | attr | NOUN | [a, of]
of | prep | ADP | [order]
the | det | DET | []
angelic | amod | ADJ | []
order | pobj | NOUN | [the, angelic, of]
of | prep | ADP | [Virtues]
Virtues | pobj | NOUN | []
. | punct | PUNCT | []"
he,is ,HELL,"prior to his fall , agares was a member of the angelic order of virtues .===in HEll HE is tHE ﬁrst duke of tHE power of tHE east and rules 31 legions of demons .===he appears as a handsome man riding a crocodile and carrying a goshawk on his ﬁ st .",HELL,is,"In | prep | ADP | [HELL]
HELL | pobj | PROPN | []
he | nsubj | PRON | []
is | ROOT | VERB | [In, he, duke, and, rules, .]
the | det | DET | []
ﬁrst | amod | ADJ | []
duke | attr | NOUN | [the, ﬁrst, of]
of | prep | ADP | [power]
the | det | DET | []
power | pobj | NOUN | [the, of]
of | prep | ADP | [east]
the | det | DET | []
east | pobj | NOUN | [the]
and | cc | CCONJ | []
rules | conj | NOUN | [LEGIONs]
31 | nummod | NUM | []
LEGIONs | dobj | NOUN | [31, of]
of | prep | ADP | [DEMONs]
DEMONs | pobj | NOUN | []
. | punct | PUNCT | []"
He,appears as,a handsome man riding a crocodile and carrying a goshawk on his ﬁ st,"in hell he is the ﬁrst duke of the power of the east and rules 31 legions of demons .===HE appears as a handsome man riding a crocodile and carrying a goshawk on his ﬁ st .===he makes those who run stand still , and he can retrieve runaways .",man,appears,"He | nsubj | PRON | []
appears | ROOT | VERB | [He, as, .]
as | prep | ADP | [man]
a | det | DET | []
handsome | amod | ADJ | []
man | pobj | NOUN | [a, handsome, riding]
riding | acl | VERB | [crocodile, and, carrying]
a | det | DET | []
crocodile | dobj | NOUN | [a]
and | cc | CCONJ | []
carrying | conj | VERB | [goshawk, on]
a | det | DET | []
goshawk | dobj | NOUN | [a]
on | prep | ADP | [st]
his | poss | ADJ | []
ﬁ | compound | NOUN | []
st | pobj | PROPN | [his, ﬁ]
. | punct | PUNCT | []"
He,teaches ,all languages,"he makes those who run stand still , and he can retrieve runaways .===HE teacHEs all languages , causes earthquakes , and destroys spiritual dignities .  ===agrath in jewish demonology , a powerful female demon .",languages,teaches,"He | nsubj | PRON | []
teaches | ROOT | VERB | [He, languages, ,, causes, .]
all | det | DET | []
languages | dobj | NOUN | [all]
, | punct | PUNCT | []
causes | conj | VERB | [earthquakes, ,, and, destroys]
earthquakes | dobj | NOUN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
destroys | conj | VERB | [dignities]
spiritual | amod | ADJ | []
dignities | dobj | NOUN | [spiritual]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Ahriman,was ,a primordial desert spirit who became the personiﬁcation of evil in Zoroastrianism,"agrath ( beating ) and her mother , m akhlath ,   ahriman in zoroastrianism , the demon of all demons and the source of all evil .===AHRIMAN originally was a primordial desert spirit who became the personiﬁcation of evil in zoroastrianism .===as such , he is not immortal , and eventually his reign of terror will be conquered by the forces of good .  ",spirit,was,"Ahriman | nsubj | PROPN | []
originally | advmod | ADV | []
was | ROOT | VERB | [Ahriman, originally, spirit, .]
a | det | DET | []
primordial | amod | ADJ | []
desert | compound | NOUN | []
spirit | attr | NOUN | [a, primordial, desert, became]
who | nsubj | NOUN | []
became | relcl | VERB | [who, personiﬁcation]
the | det | DET | []
personiﬁcation | attr | NOUN | [the, of, in]
of | prep | ADP | [evil]
evil | pobj | NOUN | []
in | prep | ADP | [Zoroastrianism]
Zoroastrianism | pobj | PROPN | []
. | punct | PUNCT | []"
he,is ,immortal,"ahriman originally was a primordial desert spirit who became the personiﬁcation of evil in zoroastrianism .===as such , HE is not immortal , and eventually his reign of terror will be conquered by tHE forces of good .  ===there are different legends about the origins of ahriman as the evil god .",immortal,is,"As | mark | ADP | []
such | advmod | ADJ | [As]
, | punct | PUNCT | []
he | nsubj | PRON | []
is | ROOT | VERB | [such, ,, he, not, immortal, ,, and, conquered]
not | neg | ADV | []
immortal | acomp | ADJ | []
, | punct | PUNCT | []
and | cc | CCONJ | []
eventually | advmod | ADV | []
his | poss | ADJ | []
reign | nsubjpass | NOUN | [his, of]
of | prep | ADP | [terror]
terror | pobj | NOUN | []
will | aux | VERB | []
be | auxpass | VERB | []
conquered | conj | VERB | [eventually, reign, will, be, by, .]
by | agent | ADP | [forces]
the | det | DET | []
forces | pobj | NOUN | [the, of]
of | prep | ADP | [good]
good | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
twins,is ,supremacy and their battleground,"in one , ahura mazda , the good god , created the universe and twins called spenta mainyu ( the spirit of light , truth , and life ) and angra mainyu ( the spirit of darkness , deceit and death ) .===the TWINS ﬁght for supremacy and their battleground is earth .===over time , spenta mainyu became absorbed into ahura mazda , and angra mainyu became ahriman .  ",supremacy,is,"The | det | DET | []
twins | nsubj | NOUN | [The, ﬁght]
ﬁght | amod | VERB | [for]
for | prep | ADP | [supremacy]
supremacy | pobj | NOUN | [and, battleground]
and | cc | CCONJ | []
their | poss | ADJ | []
battleground | conj | NOUN | [their]
is | ROOT | VERB | [twins, Earth, .]
Earth | attr | PROPN | []
. | punct | PUNCT | []"
saviors,appear ,the fourth era,"the battle between the two forces continues and will last for thousands of years , divided into eras .===after the fourth era , three SAVIORS will appear , who will destroy ahriman and all his forces of evil .  ===in a variation of this legend ahura mazda created angra mainyu in a moment of doubt when he was making the universe .  ",era,appear,"After | prep | ADP | [era]
the | det | DET | []
fourth | amod | ADJ | []
era | pobj | NOUN | [the, fourth]
, | punct | PUNCT | []
three | nummod | NUM | []
saviors | nsubj | NOUN | [three]
will | aux | VERB | []
appear | ROOT | VERB | [After, ,, saviors, will, ,, destroy, .]
, | punct | PUNCT | []
who | nsubj | NOUN | []
will | aux | VERB | []
destroy | ccomp | VERB | [who, will, Ahriman]
Ahriman | dobj | PROPN | [and, forces]
and | cc | CCONJ | []
all | predet | ADJ | []
his | poss | ADJ | []
forces | conj | NOUN | [all, his, of]
of | prep | ADP | [evil]
evil | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Ahriman,were ,Ahura Mazda,"in a variation of this legend ahura mazda created angra mainyu in a moment of doubt when he was making the universe .  ===according to another legend , AHRIMAN and ormazd ( a contraction of ahura mazda ) were twins born to zuvan , the creator deity .===zurvan declared that the ﬁ rstborn would be supreme ruler .",Mazda,were,"According | prep | VERB | [to]
to | prep | ADP | [legend]
another | det | DET | []
legend | pobj | NOUN | [another]
, | punct | PUNCT | []
Ahriman | nsubj | PROPN | [and, Ormazd, contraction]
and | cc | CCONJ | []
Ormazd | conj | PROPN | []
( | punct | PUNCT | []
a | det | DET | []
contraction | appos | NOUN | [(, a, of, )]
of | prep | ADP | [Mazda]
Ahura | compound | PROPN | []
Mazda | pobj | PROPN | [Ahura]
) | punct | PUNCT | []
were | ROOT | VERB | [According, ,, Ahriman, twins, .]
twins | attr | NOUN | [born]
born | acl | VERB | [to]
to | prep | ADP | [Zuvan]
Zuvan | pobj | PROPN | [,, deity]
, | punct | PUNCT | []
the | det | DET | []
creator | compound | NOUN | []
deity | appos | NOUN | [the, creator]
. | punct | PUNCT | []"
