subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
Hermes,"his wife , Alcestis", was ,"at the wedding feast admetus forgot to sacrifice to artemis , and realizing that admetus was doomed , apollo promised him that he need not die on the day decreed by the fates provided he could find a willing substi- tute ; he arranged this by getting the fates ( moirae ) drunk and making them promise this condition .  ===when the time came and hermes sum- moned admetus to tartarus the only willing substitute that could be found was his wife , alcestis .===there two versions of what happened next .","When | advmod | ADV | []
the | det | DET | []
time | nsubj | NOUN | [the]
came | advcl | VERB | [When, time, and, moned]
and | cc | CCONJ | []
Hermes | nsubj | PROPN | []
sum- | advmod | NOUN | []
moned | conj | VERB | [Hermes, sum-, Admetus, to]
Admetus | dobj | PROPN | []
to | prep | ADP | [Tartarus]
Tartarus | pobj | PROPN | []
the | det | DET | []
only | amod | ADJ | []
willing | amod | ADJ | []
substitute | nsubj | NOUN | [the, only, willing, found]
that | nsubjpass | ADJ | []
could | aux | VERB | []
be | auxpass | VERB | []
found | relcl | VERB | [that, could, be]
was | ROOT | VERB | [came, substitute, wife, .]
his | poss | ADJ | []
wife | attr | NOUN | [his, ,, Alcestis]
, | punct | PUNCT | []
Alcestis | appos | PROPN | []
. | punct | PUNCT | []",Hermes,wife,was
nymph (he),the father of Phocus ( Seal, was ,"he was the father of telamon and peleus by endeis and thus the grandfather of achilles , who led the myrmidones to troy .===by the nereid psamanthe he was the father of phocus ( seal ) .===telamon and peleus killed their half - brother with a discus , so aeacus expelled them from aegina .  ","By | prep | ADP | [Psamanthe]
the | det | DET | []
Nereid | compound | PROPN | []
Psamanthe | pobj | PROPN | [the, Nereid]
he | nsubj | PRON | []
was | ROOT | VERB | [By, he, father, ), .]
the | det | DET | []
father | attr | NOUN | [the, of]
of | prep | ADP | [Seal]
Phocus | nmod | PROPN | []
( | punct | PUNCT | []
Seal | pobj | PROPN | [Phocus, (]
) | punct | PUNCT | []
. | punct | PUNCT | []",he,father,was
Aegina,the capital of Greece, was ,"the island was conquered and colonized by athens in the fifth century b.c. , and in 1811 remarkable sculptures were recovered from a doric temple situated in the northeast of the island ( restored by thorwaldsen ) and taken to munich .===between 1828 and 1829 , aegina was the capital of greece .  ===2 .","Between | prep | ADP | [1828]
1828 | pobj | NUM | [and, 1829]
and | cc | CCONJ | []
1829 | conj | NUM | []
, | punct | PUNCT | []
Aegina | nsubj | PROPN | []
was | ROOT | VERB | [Between, ,, Aegina, capital, .]
the | det | DET | []
capital | attr | NOUN | [the, of]
of | prep | ADP | [Greece]
Greece | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Aegina,capital,was
nymphs (he),his blind father, carried ,"on another occasion , though hostile to troy , poseidon saved him from achilles , whom he had been urged to chal- lenge by apollo .  ===at the end of the trojan war , having been wounded with his mother , aphrodite , by diomedes , he carried his blind father through the dardanian gate on his back , thereby escap- ing .===the romans said that he took with him the palladium , the one stolen by odysseus only being a replica , and after seven years he reached italy .   ","At | prep | ADP | [end]
the | det | DET | []
end | pobj | NOUN | [the, of]
of | prep | ADP | [War]
the | det | DET | []
Trojan | compound | PROPN | []
War | pobj | PROPN | [the, Trojan]
, | punct | PUNCT | []
having | aux | VERB | []
been | auxpass | VERB | []
wounded | advcl | VERB | [having, been, with, by]
with | prep | ADP | [mother]
his | poss | ADJ | []
mother | pobj | NOUN | [his, ,, Aphrodite, ,]
, | punct | PUNCT | []
Aphrodite | appos | PROPN | []
, | punct | PUNCT | []
by | agent | ADP | [Diomedes]
Diomedes | pobj | PROPN | []
, | punct | PUNCT | []
he | nsubj | PRON | []
carried | ROOT | VERB | [At, ,, wounded, ,, he, father, through, on, ,, escap-, .]
his | poss | ADJ | []
blind | amod | ADJ | []
father | dobj | NOUN | [his, blind]
through | prep | ADP | [Gate]
the | det | DET | []
Dardanian | compound | PROPN | []
Gate | pobj | PROPN | [the, Dardanian]
on | prep | ADP | [back]
his | poss | ADJ | []
back | pobj | NOUN | [his]
, | punct | PUNCT | []
thereby | advmod | ADV | []
escap- | advcl | ADP | [thereby, ing]
ing | dobj | VERB | []
. | punct | PUNCT | []",he,father,carried
nymphs (he),the company of the gods,was received into,"toward the end of his life it was said that he met dido ’s sister , anna , beside the river   numicius .===having been purified in the waters of the river he was finally received into the company of the gods and became a paternal god of the latins .  ===his great - grandson , brutus , brought a group of trojans to england and founded troynovant ( new troy ) , later to be called london , and aeneas is hence regarded as the legendary founder of the british people and , supposedly , the forefather of king lear .","Having | aux | VERB | []
been | auxpass | VERB | []
purified | advcl | VERB | [Having, been, in]
in | prep | ADP | [waters]
the | det | DET | []
waters | pobj | NOUN | [the, of]
of | prep | ADP | [river]
the | det | DET | []
river | pobj | NOUN | [the]
he | nsubjpass | PRON | []
was | auxpass | VERB | []
finally | advmod | ADV | []
received | ROOT | VERB | [purified, he, was, finally, into, and, became, .]
into | prep | ADP | [company]
the | det | DET | []
company | pobj | NOUN | [the, of]
of | prep | ADP | [gods]
the | det | DET | []
gods | pobj | NOUN | [the]
and | cc | CCONJ | []
became | conj | VERB | [god]
a | det | DET | []
paternal | amod | ADJ | []
god | attr | NOUN | [a, paternal, of]
of | prep | ADP | [Latins]
the | det | DET | []
Latins | pobj | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,company,received
centaur (he),king of Elis, was ,"the son of endymion .===originally he was king of elis , but having accidentally killed apis during a chariot race he was banished across   agamemnon 17   the gulf of corinth , where he conquered the country that became known as aetolia .===he had two sons , pleuron and calydon , their names being used for cities within aetolia .  ","Originally | advmod | ADV | []
he | nsubj | PRON | []
was | ROOT | VERB | [Originally, he, king, ,, but, killed, .]
king | attr | NOUN | [of]
of | prep | ADP | [Elis]
Elis | pobj | PROPN | []
, | punct | PUNCT | []
but | cc | CCONJ | []
having | aux | VERB | []
accidentally | advmod | ADV | []
killed | conj | VERB | [having, accidentally, Apis, during, 17, Gulf]
Apis | dobj | PROPN | []
during | prep | ADP | [race]
a | det | DET | []
chariot | compound | NOUN | []
race | pobj | NOUN | [a, chariot, banished]
he | nsubjpass | PRON | []
was | auxpass | VERB | []
banished | relcl | VERB | [he, was, across, Agamemnon]
across | prep | ADP | [ ]
  |  | SPACE | []
Agamemnon | npadvmod | PROPN | []
17 | npadvmod | NUM | [ ]
  |  | SPACE | []
the | det | DET | []
Gulf | dobj | PROPN | [the, of, ,, conquered]
of | prep | ADP | [Corinth]
Corinth | pobj | PROPN | []
, | punct | PUNCT | []
where | advmod | ADV | []
he | nsubj | PRON | []
conquered | relcl | VERB | [where, he, country]
the | det | DET | []
country | dobj | NOUN | [the, known]
that | nsubjpass | ADJ | []
became | auxpass | VERB | []
known | relcl | VERB | [that, became, as]
as | prep | ADP | [Aetolia]
Aetolia | pobj | PROPN | []
. | punct | PUNCT | []",he,king,was
Aphrodite,him, carried ,"with achilles sulking in his tent and the trojans now getting the better of the greeks , agamemnon was only too pleased to grant a truce so that menelaus and paris might settle their quarrel in single combat .===but with paris losing , aphrodite carried him away , and the battle restarted .===still the trojans held the upper hand , and in alarm agamemnon attempted to induce achilles back into the fray by offering to return briseis .","But | cc | CCONJ | []
with | prep | ADP | [losing]
Paris | nsubj | PROPN | []
losing | pcomp | VERB | [Paris]
, | punct | PUNCT | []
Aphrodite | nsubj | PROPN | []
carried | ROOT | VERB | [But, with, ,, Aphrodite, him, away, ,, and, restarted]
him | dobj | PRON | []
away | advmod | ADV | []
, | punct | PUNCT | []
and | cc | CCONJ | []
the | det | DET | []
battle | nsubj | NOUN | [the]
restarted | conj | VERB | [battle, .]
. | punct | PUNCT | []",Aphrodite,him,carried
nymph (he),"a courageous fighter who boasted that he did not need the help of the gods and brought 12 ships and his half - brother , Teucer , the best archer in all Greece , to the Trojan War", was ,"the son of telamon , king of salamis .===known as ajax the greater or great ajax to distinguish him from ajax the lesser , he was a courageous fighter who boasted that he did not need the help of the gods and brought 12 ships and his half - brother , teucer , the best archer in all greece , to the trojan war .===he was distin- guished by his huge shield .  ","Known | advcl | VERB | [as, distinguish]
as | prep | ADP | [Ajax]
Ajax | pobj | PROPN | [Greater]
the | det | DET | []
Greater | appos | PROPN | [the, or, Ajax]
or | cc | CCONJ | []
Great | compound | PROPN | []
Ajax | conj | PROPN | [Great]
to | aux | PART | []
distinguish | advcl | VERB | [to, him, from]
him | dobj | PRON | []
from | prep | ADP | [Ajax]
Ajax | pobj | PROPN | [Lesser]
the | det | DET | []
Lesser | appos | ADJ | [the]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [Known, ,, he, fighter, .]
a | det | DET | []
courageous | amod | ADJ | []
fighter | attr | NOUN | [a, courageous, boasted]
who | nsubj | NOUN | []
boasted | relcl | VERB | [who, need]
that | mark | ADP | []
he | nsubj | PRON | []
did | aux | VERB | []
not | neg | ADV | []
need | ccomp | VERB | [that, he, did, not, help, and, brought]
the | det | DET | []
help | dobj | NOUN | [the, of]
of | prep | ADP | [gods]
the | det | DET | []
gods | pobj | NOUN | [the]
and | cc | CCONJ | []
brought | conj | VERB | [ships, ,, to]
12 | nummod | NUM | []
ships | dobj | NOUN | [12, and, brother]
and | cc | CCONJ | []
his | poss | ADJ | []
half | amod | ADJ | []
- | punct | PUNCT | []
brother | conj | NOUN | [his, half, -, ,, Teucer]
, | punct | PUNCT | []
Teucer | appos | PROPN | [,, archer]
, | punct | PUNCT | []
the | det | DET | []
best | amod | ADJ | []
archer | appos | NOUN | [the, best, in]
in | prep | ADP | [Greece]
all | det | DET | []
Greece | pobj | PROPN | [all]
, | punct | PUNCT | []
to | prep | ADP | [War]
the | det | DET | []
Trojan | compound | PROPN | []
War | pobj | PROPN | [the, Trojan]
. | punct | PUNCT | []",he,fighter,was
"The winged sandals worn by and therefore an attribute of Hermes ,",the petasus and the caduceus, were ,"alipes greek  ===the winged sandals worn by and therefore an attribute of hermes , whose other attributes were the petasus and the caduceus .  ===alma mater  ","The | det | DET | []
winged | amod | ADJ | []
sandals | nsubj | NOUN | [The, winged, worn, and, attribute]
worn | acl | VERB | [by]
by | agent | ADP | []
and | cc | CCONJ | []
therefore | advmod | ADV | []
an | det | DET | []
attribute | conj | NOUN | [therefore, an, of]
of | prep | ADP | [Hermes]
Hermes | pobj | PROPN | [,]
, | punct | PUNCT | []
whose | poss | ADJ | []
other | amod | ADJ | []
attributes | nsubj | NOUN | [whose, other]
were | ROOT | VERB | [sandals, attributes, petasus, .]
the | det | DET | []
petasus | attr | NOUN | [the, and, caduceus]
and | cc | CCONJ | []
the | det | DET | []
caduceus | conj | NOUN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",sandals,petasus,were
One of the 12 labors of Heracles,the girdle of the Amazon Queen Hippolyta ( Hippolyte, was ,"among the heroes was bellerophon .===one of the 12 labors of heracles was to capture the girdle of the amazon queen hippolyta ( hippolyte ) .===it was either on this occasion or later that theseus , who accom- panied heracles , carried off the amazon antiope , though another tradition says that he did not carry off antiope but her sister hippolyta , and it was she that became the mother , by theseus , of hippolytus .","One | nsubj | NUM | [of]
of | prep | ADP | [labors]
the | det | DET | []
12 | nummod | NUM | []
labors | pobj | NOUN | [the, 12, of]
of | prep | ADP | [Heracles]
Heracles | pobj | PROPN | []
was | ROOT | VERB | [One, capture, ), .]
to | aux | PART | []
capture | xcomp | VERB | [to, girdle]
the | det | DET | []
girdle | dobj | NOUN | [the, of]
of | prep | ADP | [Hippolyte]
the | det | DET | []
Amazon | compound | PROPN | []
Queen | compound | PROPN | []
Hippolyta | nmod | PROPN | [Amazon, Queen]
( | punct | PUNCT | []
Hippolyte | pobj | PROPN | [the, Hippolyta, (]
) | punct | PUNCT | []
. | punct | PUNCT | []",One,girdle,was
Poseidon,a philander-, was ,"her offspring included triton and , some- times , the nereides , though the latter are usually said to be the children of nereus , her father .===poseidon , however , was a philander-===er like his brother , zeus , and had many other children by mortals and divinities .","Poseidon | nsubj | PROPN | []
, | punct | PUNCT | []
however | advmod | ADV | []
, | punct | PUNCT | []
was | ROOT | VERB | [Poseidon, ,, however, ,, philander-]
a | det | DET | []
philander- | attr | NOUN | [a]",Poseidon,philander-,was
"Another of Poseidon ’s children , by Aethra ,","Theseus , who on his way to Crete dived into the sea to retrieve a ring that Minos had thrown overboard to challenge his parentage", was ,"when he paid court to the nymph scylla , who was particularly hateful to amphitrite , it was said that it was amphitrite who turned her into a monster with six barking heads and 12 feet .  ===another of poseidon ’s children , by aethra , was theseus , who on his way to crete dived into the sea to retrieve a ring that minos had thrown overboard to challenge his parentage .===while underwater amphitrite entertained him at her court among the nereides , welcoming him as a son of poseidon and giving him the wreath of roses she had received from aphrodite .  ","Another | nsubj | DET | [of, ,, by, ,]
of | prep | ADP | [children]
Poseidon | poss | PROPN | [’s]
’s | case | PART | []
children | pobj | NOUN | [Poseidon]
, | punct | PUNCT | []
by | prep | ADP | [Aethra]
Aethra | pobj | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [Another, Theseus, .]
Theseus | attr | PROPN | [,, dived]
, | punct | PUNCT | []
who | nsubj | NOUN | []
on | prep | ADP | [way]
his | poss | ADJ | []
way | pobj | NOUN | [his, to]
to | prep | ADP | [Crete]
Crete | pobj | PROPN | []
dived | relcl | VERB | [who, on, into, retrieve]
into | prep | ADP | [sea]
the | det | DET | []
sea | pobj | NOUN | [the]
to | aux | PART | []
retrieve | advcl | VERB | [to, ring]
a | det | DET | []
ring | dobj | NOUN | [a, thrown]
that | dobj | ADJ | []
Minos | nsubj | PROPN | []
had | aux | VERB | []
thrown | relcl | VERB | [that, Minos, had, overboard, challenge]
overboard | advmod | ADV | []
to | aux | PART | []
challenge | advcl | VERB | [to, parentage]
his | poss | ADJ | []
parentage | dobj | NOUN | [his]
. | punct | PUNCT | []",Another,Theseus,was
"This boy , his son by Aphrodite",Aeneas, was ,"however , aphrodite , already knowing she was pregnant from their union , reassured him and promised to get nymphs to raise the boy until he reached the age of five , after which he would be returned to anchises , who was to say that the boy was the son of a nymph .===this boy , his son by aphrodite , was aeneas .  ===when anchises was drunk he boasted of his union with the goddess , and as a result zeus struck him with a thunderbolt and left him lame in one leg and blind .","This | det | DET | []
boy | nsubj | NOUN | [This, ,, son]
, | punct | PUNCT | []
his | poss | ADJ | []
son | appos | NOUN | [his, by]
by | prep | ADP | [Aphrodite]
Aphrodite | pobj | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [boy, ,, Aeneas, .]
Aeneas | attr | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",boy,Aeneas,was
"Theseus   Aphrodite   Greek   One of the 12 elite Olympian deities ,","the goddess of love ( especially sensual ) , feminine beauty , marriage , and fertil- ity", was ,"see also===: dioscuri ; theseus   aphrodite   greek   one of the 12 elite olympian deities , aphrodite was the goddess of love ( especially sensual ) , feminine beauty , marriage , and fertil- ity and was the patroness of prostitutes .===identified by the romans with venus , though venus ’s origins were markedly different , as she was originally the patroness of vegetable gardens .",": | punct | PUNCT | []
Dioscuri | ccomp | PROPN | [:, ;]
; | punct | PUNCT | []
Theseus | nsubj | PROPN | [ , Aphrodite]
  |  | SPACE | []
Aphrodite | appos | PROPN | [ , Greek, ,]
  |  | SPACE | []
Greek | appos | PROPN | [ , One]
  |  | SPACE | []
One | appos | NUM | [of]
of | prep | ADP | [deities]
the | det | DET | []
12 | nummod | NUM | []
elite | amod | ADJ | []
Olympian | amod | ADJ | []
deities | pobj | NOUN | [the, 12, elite, Olympian]
, | punct | PUNCT | []
Aphrodite | nsubj | PROPN | []
was | ROOT | VERB | [Dioscuri, Theseus, Aphrodite, goddess, and, was, .]
the | det | DET | []
goddess | attr | NOUN | [the, of, (, sensual, ), ,, beauty]
of | prep | ADP | [love]
love | pobj | NOUN | []
( | punct | PUNCT | []
especially | advmod | ADV | []
sensual | amod | ADJ | [especially]
) | punct | PUNCT | []
, | punct | PUNCT | []
feminine | amod | ADJ | []
beauty | conj | NOUN | [feminine, ,, marriage]
, | punct | PUNCT | []
marriage | conj | NOUN | [,, and, ity]
, | punct | PUNCT | []
and | cc | CCONJ | []
fertil- | amod | VERB | []
ity | conj | NOUN | [fertil-]
and | cc | CCONJ | []
was | conj | VERB | [patroness]
the | det | DET | []
patroness | attr | NOUN | [the, of]
of | prep | ADP | [prostitutes]
prostitutes | pobj | NOUN | []
. | punct | PUNCT | []",Theseus,goddess,was
eos (she),Syria,was worshipped in,"the greeks recognized her oriental nature , and herodotus states that her oldest shrine was at ashkelon .===in roman times she was worshipped in syria in the form of a fish as the syrian goddess .  ===older aspects of her cult survive in her var- ious names .","In | prep | ADP | [times]
Roman | amod | ADJ | []
times | pobj | NOUN | [Roman]
she | nsubjpass | PRON | []
was | auxpass | VERB | []
worshipped | ROOT | VERB | [In, she, was, in, in, .]
in | prep | ADP | [Syria]
Syria | pobj | PROPN | []
in | prep | ADP | [form]
the | det | DET | []
form | pobj | NOUN | [the, of]
of | prep | ADP | [fish]
a | det | DET | []
fish | pobj | NOUN | [a, as]
as | prep | ADP | [Goddess]
the | det | DET | []
Syrian | compound | ADJ | []
Goddess | pobj | PROPN | [the, Syrian]
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,Syria,worshipped
One of her children by Ares,Harmonia, was ,"this story , and how hephaistos exposed the pair to the ridicule of the other gods , is told in a poem known as the “ lay of demodocos ” that was incorporated into the eighth book of homer ’s odyssey .===one of her children by ares was harmonia .===aphrodite also bore sons to poseidon , bore priapus to dionysos , and later stories say that she bore hermaphroditos to hermes and eros to either hermes , ares , or zeus , as well as the deities known as phobos and deimos , their most like- ly father also being the god of war , ares .  ","One | nsubj | NUM | [of]
of | prep | ADP | [children]
her | poss | ADJ | []
children | pobj | NOUN | [her, by]
by | prep | ADP | [Ares]
Ares | pobj | PROPN | []
was | ROOT | VERB | [One, Harmonia, .]
Harmonia | attr | PROPN | []
. | punct | PUNCT | []",One,Harmonia,was
Aphrodite,the main cause of the Trojan War, is ,"from athene the bride received a magic robe that conferred divine dignity .  ===aphrodite is to be considered the main cause of the trojan war due to her temptation of paris .===the story goes that of all the gods , only eris was not invited to the wedding of peleus and thetis , and in revenge she flung among the guests the golden apple of discord , inscribed with the words , “ to the fairest .","Aphrodite | nsubj | PROPN | []
is | ROOT | VERB | [Aphrodite, considered, .]
to | aux | PART | []
be | auxpass | VERB | []
considered | xcomp | VERB | [to, be, cause, due]
the | det | DET | []
main | amod | ADJ | []
cause | oprd | NOUN | [the, main, of]
of | prep | ADP | [War]
the | det | DET | []
Trojan | compound | PROPN | []
War | pobj | PROPN | [the, Trojan]
due | prep | ADP | [to, temptation]
to | pcomp | ADP | []
her | poss | ADJ | []
temptation | pobj | NOUN | [her, of]
of | prep | ADP | [Paris]
Paris | pobj | PROPN | []
. | punct | PUNCT | []",Aphrodite,cause,is
Apollo,the most popular of all Greek gods, was ,"apollo   greco - roman   one of the 12 great olympian deities whose worship was paramount in shaping the char- acter of greek civilization .===apollo was the most popular of all greek gods and presided over many aspects of life .===he was the god of prophecy and divine distance , of beneficent power and righteous punishment .","Apollo | nsubj | PROPN | []
was | ROOT | VERB | [Apollo, popular, and, presided, .]
the | det | DET | []
most | advmod | ADV | []
popular | attr | ADJ | [the, most, of]
of | prep | ADP | [gods]
all | det | DET | []
Greek | amod | ADJ | []
gods | pobj | NOUN | [all, Greek]
and | cc | CCONJ | []
presided | conj | VERB | [over]
over | prep | ADP | [aspects]
many | amod | ADJ | []
aspects | pobj | NOUN | [many, of]
of | prep | ADP | [life]
life | pobj | NOUN | []
. | punct | PUNCT | []",Apollo,popular,was
Apollo,the father of Troilus by Hecuba,may have been ,"both he and posedion sought the love of hestia , though she swore by zeus to always remain a virgin .  ===apollo may have been the father of troilus by hecuba and also loved her daughter by priam , cassandra .===he bestowed on her the gift of prophecy on the condition that she become his lover .","Apollo | nsubj | PROPN | []
may | aux | VERB | []
have | aux | VERB | []
been | ROOT | VERB | [Apollo, may, have, father, and, loved, .]
the | det | DET | []
father | attr | NOUN | [the, of, by]
of | prep | ADP | [Troilus]
Troilus | pobj | PROPN | []
by | prep | ADP | [Hecuba]
Hecuba | pobj | PROPN | []
and | cc | CCONJ | []
also | advmod | ADV | []
loved | conj | VERB | [also, daughter, by]
her | poss | ADJ | []
daughter | dobj | NOUN | [her]
by | agent | ADP | [Priam]
Priam | pobj | PROPN | [,, Cassandra]
, | punct | PUNCT | []
Cassandra | appos | PROPN | []
. | punct | PUNCT | []",Apollo,father,been
nymph (she),"superior to Leto , who only had two", was ,"in conjunction with his sister , he killed the niobids , the children of niobe , in revenge for her having boasted that as she had seven sons and seven daughters ( some say six of each )===she was superior to leto , who only had two .===apollo killed the boys ( some say he killed only five of the six ) and artemis the girls .","she | nsubj | PRON | []
was | ROOT | VERB | [she, superior, .]
superior | acomp | ADJ | [to]
to | prep | ADP | [Leto]
Leto | pobj | PROPN | [,, had]
, | punct | PUNCT | []
who | nsubj | NOUN | []
only | advmod | ADV | []
had | relcl | VERB | [who, only, two]
two | dobj | NUM | []
. | punct | PUNCT | []",she,superior,was
nymph (he),the god of roads, was also,"apollo also protected cattle and flocks , as his compulsory service to both admetus and laomedon indicated , an aspect that later writers particularly emphasized .===as apollo aguieus he was also the god of roads .===as the god of prophecy apollo could confer that gift to gods and mortals alike , and of all the centers of his worship , delphi was the most famous .","As | prep | ADP | [Aguieus]
Apollo | compound | PROPN | []
Aguieus | pobj | PROPN | [Apollo]
he | nsubj | PRON | []
was | ROOT | VERB | [As, he, also, god, .]
also | advmod | ADV | []
the | det | DET | []
god | attr | NOUN | [the, of]
of | prep | ADP | [roads]
roads | pobj | NOUN | []
. | punct | PUNCT | []",he,god,was
Apollo,"so delighted that he accepted it in exchange for the oxen , after which he became the firm friend of Hermes , restoring him in the eyes of Zeus", was so,"apollo denounced the thief to zeus when he discovered who it was , and zeus ordered the return of the beasts .===however , when apollo heard the lyre he was so delighted that he accepted it in exchange for the oxen , after which he became the firm friend of hermes , restoring him in the eyes of zeus .===none surpassed him in music , not even pan or the satyr marsyas , who found the mag- ical , self - playing flute that athene had thrown away .","However | advmod | ADV | []
, | punct | PUNCT | []
when | advmod | ADV | []
Apollo | nsubj | PROPN | []
heard | advcl | VERB | [when, Apollo, lyre]
the | det | DET | []
lyre | dobj | NOUN | [the]
he | nsubj | PRON | []
was | ROOT | VERB | [However, ,, heard, he, delighted, .]
so | advmod | ADV | []
delighted | acomp | ADJ | [so, accepted]
that | mark | ADP | []
he | nsubj | PRON | []
accepted | ccomp | VERB | [that, he, it, in, ,, restoring]
it | dobj | PRON | []
in | prep | ADP | [exchange]
exchange | pobj | NOUN | [for, ,, became]
for | prep | ADP | [oxen]
the | det | DET | []
oxen | pobj | NOUN | [the]
, | punct | PUNCT | []
after | prep | ADP | [which]
which | pobj | ADJ | []
he | nsubj | PRON | []
became | relcl | VERB | [after, he, friend]
the | det | DET | []
firm | amod | ADJ | []
friend | attr | NOUN | [the, firm, of]
of | prep | ADP | [Hermes]
Hermes | pobj | PROPN | []
, | punct | PUNCT | []
restoring | advcl | VERB | [him, in]
him | dobj | PRON | []
in | prep | ADP | [eyes]
the | det | DET | []
eyes | pobj | NOUN | [the, of]
of | prep | ADP | [Zeus]
Zeus | pobj | PROPN | []
. | punct | PUNCT | []",Apollo,delighted,was
This first Cumaean Apollo,more prophetic than the later Roman god, was more,"during a famine rome imported grain from cumae , and the cult was adopted .===this first cumaean apollo was more prophetic than the later roman god and was associated with healing .===the later god differed little from his earlier greek counterpart and was greatly revered by emperor augustus .","This | det | DET | []
first | amod | ADJ | []
Cumaean | compound | PROPN | []
Apollo | nsubj | PROPN | [This, first, Cumaean]
was | ROOT | VERB | [Apollo, prophetic, and, associated, .]
more | advmod | ADV | []
prophetic | acomp | ADJ | [more, than]
than | prep | ADP | [god]
the | det | DET | []
later | amod | ADV | []
Roman | amod | ADJ | []
god | pobj | NOUN | [the, later, Roman]
and | cc | CCONJ | []
was | auxpass | VERB | []
associated | conj | VERB | [was, with]
with | prep | ADP | [healing]
healing | pobj | NOUN | []
. | punct | PUNCT | []",Apollo,prophetic,was
The Apollo asteroids,so small and faint that they are difficult to locate, are so,"a group of small asteroids with orbits crossing that of earth are named after the first of their kind , which was discovered in 1932 , named apollo , and then lost until 1973 .===the apollo asteroids are so small and faint that they are difficult to locate , except when close to earth .===apollo itself is only about 2 kilometers across .  ","The | det | DET | []
Apollo | compound | PROPN | []
asteroids | nsubj | NOUN | [The, Apollo]
are | ROOT | VERB | [asteroids, small, ,, except, .]
so | advmod | ADV | []
small | acomp | ADJ | [so, and, faint]
and | cc | CCONJ | []
faint | conj | ADJ | [are]
that | mark | ADP | []
they | nsubj | PRON | []
are | ccomp | VERB | [that, they, difficult]
difficult | acomp | ADJ | [locate]
to | aux | PART | []
locate | xcomp | VERB | [to]
, | punct | PUNCT | []
except | prep | ADP | [close]
when | advmod | ADV | []
close | pcomp | ADJ | [when, to]
to | prep | ADP | [earth]
earth | pobj | NOUN | []
. | punct | PUNCT | []",asteroids,small,are
